category,target,img,snd,text
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0026.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/2-118624-A-30.npz,ドアノブとは、扉を開閉するために操作する取っ手であり、多くの場合、扉を閉じた状態に保つラッチ機構や、外部からの侵入を防ぐための施錠機構と一体化した部品の総称です。 その形状は、握って回す球状の「丸ノブ」が一般的で、コンパクトさが特徴ですが、近年では指で押し下げて操作する「レバーハンドル」が操作性の高さから広く普及し、また、押したり引いたりして開閉する「プッシュプルハンドル」は両手が塞がっている場合でも肘などで操作できる利便性から、多様なタイプが存在します。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0062.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/5-218981-A-30.npz,耐久性や耐腐食性、防火性なども考慮され、設置場所の環境に応じて適切なものが選定されます。 ドアノブの内部には、スピンドルと呼ばれる角軸が通っており、これを回したり押し下げたりする操作が、ドアの側面にあるラッチボルトに伝わります。 操作によってラッチボルトがドア本体に引き込まれ、ドア枠のストライク（受け座）から外れることで、ドアは開閉可能になります。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0036.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/5-251426-B-30.npz,ドアノブとは、扉を開閉するために操作する取っ手の一種であり、扉に設けられたラッチ（かんぬき）機構と連動して、扉を固定したり解放したりする役割を担う部品です。 一般的には、握って回すことでラッチを引っ込ませ、扉を開けることができる球状のものを指しますが、近年では握りやすいレバー状の「レバーハンドル」も広く普及しており、これらも広義のドアノブに含まれます。 その形状は球形、楕円形、レバー形など多岐にわたり、材質も真鍮、ステンレス、アルミニウムといった金属のほか、木、プラスチック、陶器など様々です。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0024.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/3-182025-A-30.npz,近年では、多くの人が触れる箇所であることから、抗菌・抗ウイルス加工が施された製品や、高齢者や身体の不自由な方でも容易に操作できるよう、軽い力で開閉できるレバーハンドル型がバリアフリーの観点から推奨されるなど、機能性や衛生面への配慮も進化しています。 また、スマートロックと連携し、スマートフォンや生体認証で解錠できる高機能な製品も登場しており、利便性とセキュリティの向上が図られています。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0066.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/3-144510-A-30.npz,これらの素材やデザインは、設置される建築物の様式やインテリアデザインと調和するように選ばれることが一般的で、機能性だけでなく視覚的な要素も重視されます。 ドアノブの基本的な仕組みは、内部に組み込まれたラッチボルトと呼ばれる可動式の部品と連動しています。 ノブを回したりレバーを下げたりすることで、ラッチボルトが扉の枠から引っ込み、扉の固定が解除されて開閉が可能になります。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0086.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-81001-B-30.npz,多くのドアノブには施錠機能が一体化しており、鍵穴や、内側から手動で施錠・解錠を行うサムターンが備えられているものも多い。 単なる機能部品としてだけでなく、建築物の内外装デザインの一部としても重要な役割を担い、クラシックなものからモダンなものまで、様々な様式や時代背景を反映した意匠が存在し、空間の雰囲気を決定づける要素となる。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0073.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/3-182025-A-30.npz,ドアノブの主な機能は、これを回したり押し下げたりする操作によって、ドアを固定しているラッチボルトをドア枠から引き込み、ドアが開く状態にすることです。 内部にはスピンドルと呼ばれる角軸が通っており、ノブの操作がこの軸を介してラッチボルトに伝わります。 手を離すと、内蔵されたスプリングの力でラッチボルトが元の位置に戻り、ドアが閉まった際に自動的に固定される仕組みです。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0070.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/3-182025-A-30.npz,ドアノブとは、扉を開閉するために操作する取っ手の一種であり、多くの場合、扉の施錠・解錠機能も兼ね備えている装置である。 その形状は、古くから親しまれている球形（丸型）が一般的だが、近年ではレバーを押し下げることで操作するレバーハンドル型や、引いたり押したりするプッシュプル型など、多様なデザインが存在する。 素材も真鍮、ステンレス、アルミニウムといった金属のほか、木、プラスチック、陶器など多岐にわたり、建築物のデザインや用途に合わせて選択される。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0063.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/5-235644-A-30.npz,耐久性や耐腐食性、防火性なども考慮され、設置場所の環境に応じて適切なものが選定されます。 ドアノブの内部には、スピンドルと呼ばれる角軸が通っており、これを回したり押し下げたりする操作が、ドアの側面にあるラッチボルトに伝わります。 操作によってラッチボルトがドア本体に引き込まれ、ドア枠のストライク（受け座）から外れることで、ドアは開閉可能になります。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0047.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/2-120218-B-30.npz,ドアノブの仕組みは、握り玉を回す、あるいはレバーハンドルを押し下げることで、内部のスピンドルと呼ばれる軸が回転し、これに接続されたラッチボルトが扉の側面から引っ込むことで、扉枠のストライクプレートからラッチが外れ、扉が開くというものである。 多くのドアノブには施錠機能が組み込まれており、鍵穴やサムターン（室内側のつまみ）と一体化している場合や、別途デッドボルトなどの施錠機構と連動している場合がある。 これにより、部屋のプライバシーを確保したり、外部からの侵入を防ぐ防犯対策として機能する。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0065.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/4-261068-A-30.npz,近年では、高齢者や身体の不自由な人でも容易に操作できるよう、軽い力で動かせるレバーハンドルがユニバーサルデザインの観点から広く普及している。 また、多くの人が触れる部位であるため、抗菌・抗ウイルス加工が施された製品や、非接触で開閉できる自動ドアシステムとの連携なども進化しており、衛生面や利便性の向上にも貢献している。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0076.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/3-170574-A-30.npz,ドアノブの基本的な仕組みは、ノブを回すかレバーを押し下げることで、内部に連結されたスピンドルが回転し、扉の側面から突き出ているラッチボルトが扉本体に引き込まれることで、扉が開く状態となる。 手を離すと、内蔵されたバネの力でラッチボルトが元の位置に戻り、扉が閉まる際に扉枠のストライクプレートに収まることで扉が固定される。 施錠機能を持つタイプでは、鍵や内側のサムターン（つまみ）を操作することで、ラッチボルトやデッドボルトを固定し、外部からの開扉を防ぐことができる。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0066.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-103999-A-30.npz,多くのドアノブには、鍵穴やサムターン（室内側のつまみ）と連動した施錠機能が組み込まれており、デッドボルトやラッチボルトを固定することで、プライバシーの保護や防犯の役割も果たします。 近年では、ユニバーサルデザインの観点から、高齢者や身体の不自由な方でも操作しやすいレバーハンドル型が広く普及しています。 また、多くの人が日常的に触れることから、感染症対策として抗菌素材の使用や、非接触型の自動ドアへの関心も高まっています。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0070.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-26188-A-30.npz,住宅、オフィス、公共施設など、あらゆる建築物の扉に不可欠な部品であり、特にレバーハンドル型は、握力の弱い人や高齢者、障害者でも操作しやすいバリアフリー対応として広く普及している。 また、多くの人が触れることから、衛生面を考慮した抗菌素材の使用や、非接触で開閉できる技術の開発も進められている。 デザイン性も重視され、インテリアの一部として素材や形状、仕上げが選ばれることも多い。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0002.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-52290-A-30.npz,住宅、オフィス、公共施設など、あらゆる建築物の扉に不可欠な要素であり、そのデザインはインテリアの一部としても重要な役割を果たします。 関連事項として、ユニバーサルデザインの観点からは、握力の弱い人や高齢者、子供でも容易に操作できるレバーハンドルが推奨される傾向にあります。 また、衛生面を考慮した抗菌加工が施されたものや、非常時に簡単に開けられる機能を持つもの、あるいは特定の環境下での使用を想定した防水・防塵性能を持つものなど、その機能性も時代とともに多様化し、進化を続けています。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0036.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/4-211502-A-30.npz,日常的に触れる機会が多いため、その形状や素材、操作感は、建物の使いやすさや快適性に大きく影響を与える要素となっている。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0026.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-81001-B-30.npz,ドアノブとは、ドアの開閉操作を行うために取り付けられる取っ手の一種である。 一般的には球形やレバー形をしており、手で握って回したり押し下げたりすることで、ドアのラッチ（かんぬき）を操作し、ドアを開けることができる。 その素材は真鍮、ステンレス、アルミなどの金属、プラスチック、木材、陶器など多岐にわたり、機能性だけでなく、建物の内装デザインや雰囲気に合わせて装飾性も重視される。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0084.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-103999-A-30.npz,ノブを回す、またはレバーを押し下げる動作は、内部のスピンドルと呼ばれる軸を介してラッチボルトを引っ込める機構に伝達される。 これにより、扉は枠から解放され、開くことが可能となる。 扉を閉める際には、ラッチボルトが扉枠に取り付けられたストライクプレートに当たり、自動的に押し戻されて所定の位置に収まることで、扉が固定される仕組みである。 多くのドアノブは、この開閉機能に加えて、鍵穴や内側から操作するサムターンといった錠前（ロック機構）と一体化しており、防犯やプライバシー保護の役割も果たす。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0081.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/2-133889-A-30.npz,ドアノブとは、扉を開閉するために取り付けられる、手で握って操作する部品の総称である。 一般的には球形やレバー形をしており、内部の機構と連動して扉のラッチ（かんぬき）を動かすことで、扉の固定を解除したり、施錠したりする役割を担う。 その主な機能は、扉を閉じた状態から開ける、あるいは開いた状態から閉める際の操作を容易にすることにあり、住宅、オフィス、公共施設など、あらゆる建築物で不可欠な要素となっている。
doorknob,0,/home/su-laptop-02-okitani/gmm_ws/data_processed/image/058_0066.npz,/home/su-laptop-02-okitani/gmm_ws/data_processed/audio/1-52290-A-30.npz,機能的には、内部に組み込まれた錠前機構と連動しており、ノブを回す（またはレバーを下げる）ことでドア枠に引っかかっているラッチボルトが引っ込み、ドアが開く仕組みとなっている。 ドアノブは、住宅、オフィス、公共施設などあらゆる建物のドアに設置され、人々の出入りを制御する基本的な役割を担う。 多くの製品には、鍵穴やサムターンと一体化した施錠機能が備わっており、セキュリティの確保にも寄与する。
